api_number,production_month,production_year,production_quarter,oil_and_gas_group,production,operator,basin,shale_play,well_name,well_length_ft
33-053-06724-0000,2022-08-01,2022,Q3,G,2801.3657,XTO ENERGY INC,Bakken,Bakken,33-053-06724-0000,
33-053-06724-0000,2022-11-01,2022,Q4,O,2150.417,XTO ENERGY INC,Bakken,Bakken,33-053-06724-0000,
33-053-06749-0000,2022-03-01,2022,Q1,G,1484.2834,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-06749-0000,
33-053-06749-0000,2022-06-01,2022,Q2,O,743.492,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-06749-0000,
33-053-06749-0000,2022-07-01,2022,Q3,O,753.89398,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-06749-0000,
33-053-06749-0000,2022-11-01,2022,Q4,G,8.2996664,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-06749-0000,
33-053-06781-0000,2022-02-01,2022,Q1,O,6858.0,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-06781-0000,
33-053-06781-0000,2022-09-01,2022,Q3,G,59.887833,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-06781-0000,
33-053-06783-0000,2022-06-01,2022,Q2,O,3731.9009,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-06783-0000,
33-053-06783-0000,2022-11-01,2022,Q4,G,74.890663,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-06783-0000,
33-053-06784-0000,2022-02-01,2022,Q1,O,1240.496,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-06784-0000,
33-053-06784-0000,2022-05-01,2022,Q2,O,1283.775,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-06784-0000,
33-053-06784-0000,2022-11-01,2022,Q4,O,1097.9561,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-06784-0000,
33-053-06804-0000,2022-05-01,2022,Q2,O,2442.832,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06804-0000,
33-053-06804-0000,2022-07-01,2022,Q3,O,2374.416,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06804-0000,
33-053-06816-0000,2022-01-01,2022,Q1,O,893.0,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06816-0000,
33-053-06816-0000,2022-04-01,2022,Q2,O,1101.23,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06816-0000,
33-053-06816-0000,2022-09-01,2022,Q3,O,1035.73,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06816-0000,
33-053-06816-0000,2022-12-01,2022,Q4,O,1033.6121,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06816-0000,
33-053-06818-0000,2022-07-01,2022,Q3,O,2193.0471,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06818-0000,
33-053-06818-0000,2022-08-01,2022,Q3,O,2167.261,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06818-0000,
33-053-06826-0000,2022-01-01,2022,Q1,G,665.83331,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-06826-0000,
33-053-06826-0000,2022-08-01,2022,Q3,G,673.10669,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-06826-0000,
33-053-06826-0000,2022-11-01,2022,Q4,G,9.7681665,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-06826-0000,
33-053-06844-0000,2022-02-01,2022,Q1,G,86.546501,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-03-01,2022,Q1,O,2125.2209,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-06-01,2022,Q2,G,89.485497,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-07-01,2022,Q3,O,1998.2321,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-09-01,2022,Q3,G,1182.8268,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-10-01,2022,Q4,G,1212.0183,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06844-0000,2022-11-01,2022,Q4,O,1823.431,QEP ENERGY COMPANY,Bakken,Bakken,33-053-06844-0000,
33-053-06847-0000,2022-01-01,2022,Q1,G,1125.0,NEWFIELD PRODUCTION COMPANY,Three Forks,Three Forks,33-053-06847-0000,
33-053-06847-0000,2022-03-01,2022,Q1,G,830.47882,NEWFIELD PRODUCTION COMPANY,Three Forks,Three Forks,33-053-06847-0000,
33-053-06865-0000,2022-01-01,2022,Q1,G,124.0,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06865-0000,
33-053-06865-0000,2022-06-01,2022,Q2,G,12.017834,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06865-0000,
33-053-06867-0000,2022-09-01,2022,Q3,G,1200.2816,MARATHON OIL COMPANY,Three Forks,Three Forks,33-053-06867-0000,
33-053-06868-0000,2022-02-01,2022,Q1,G,274.5,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06868-0000,
33-053-06868-0000,2022-05-01,2022,Q2,G,14.443833,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06868-0000,
33-053-06868-0000,2022-10-01,2022,Q4,O,1675.177,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06868-0000,
33-053-06870-0000,2022-05-01,2022,Q2,G,978.26764,SM ENERGY COMPANY,Three Forks,Three Forks,33-053-06870-0000,
33-053-06870-0000,2022-07-01,2022,Q3,G,952.59302,SM ENERGY COMPANY,Three Forks,Three Forks,33-053-06870-0000,
33-053-06873-0000,2022-04-01,2022,Q2,O,3119.8081,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-06873-0000,
33-053-06873-0000,2022-06-01,2022,Q2,O,3041.272,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-06873-0000,
33-053-06873-0000,2022-08-01,2022,Q3,G,1131.6418,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-06873-0000,
33-053-06873-0000,2022-11-01,2022,Q4,G,339.52167,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-06873-0000,
33-053-06874-0000,2022-06-01,2022,Q2,G,279.409,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-06874-0000,
33-053-06874-0000,2022-09-01,2022,Q3,G,826.06366,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-06874-0000,
33-053-06899-0000,2022-06-01,2022,Q2,G,3531.6963,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06899-0000,
33-053-06899-0000,2022-08-01,2022,Q3,O,1894.011,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06899-0000,
33-053-06899-0000,2022-09-01,2022,Q3,O,1811.804,STATOIL OIL & GAS LP,Three Forks,Three Forks,33-053-06899-0000,
33-053-06900-0000,2022-01-01,2022,Q1,G,1403.6666,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06900-0000,
33-053-06900-0000,2022-02-01,2022,Q1,O,1571.0,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06900-0000,
33-053-06900-0000,2022-07-01,2022,Q3,G,1930.111,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06900-0000,
33-053-06900-0000,2022-10-01,2022,Q4,O,1432.405,STATOIL OIL & GAS LP,Bakken,Bakken,33-053-06900-0000,
33-053-06919-0000,2022-02-01,2022,Q1,O,2861.0,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-06919-0000,
33-053-06919-0000,2022-07-01,2022,Q3,O,2577.011,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-06919-0000,
33-053-06919-0000,2022-11-01,2022,Q4,G,1192.1466,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-06919-0000,
33-053-06919-0000,2022-12-01,2022,Q4,O,2371.7881,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-06919-0000,
33-053-06941-0000,2022-04-01,2022,Q2,G,198.73616,XTO ENERGY INC,Bakken,Bakken,33-053-06941-0000,
33-053-06941-0000,2022-09-01,2022,Q3,G,1181.4622,XTO ENERGY INC,Bakken,Bakken,33-053-06941-0000,
33-053-06966-0000,2022-03-01,2022,Q1,O,2411.583,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06966-0000,
33-053-06966-0000,2022-07-01,2022,Q3,O,2291.6399,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06966-0000,
33-053-06967-0000,2022-06-01,2022,Q2,O,2882.114,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06967-0000,
33-053-06968-0000,2022-05-01,2022,Q2,O,1881.776,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06968-0000,
33-053-06969-0000,2022-03-01,2022,Q1,O,3131.115,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-06969-0000,2022-04-01,2022,Q2,G,576.60968,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-06969-0000,2022-07-01,2022,Q3,O,2968.4341,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-06969-0000,2022-08-01,2022,Q3,O,2929.833,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-06969-0000,2022-11-01,2022,Q4,G,547.95117,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-06969-0000,2022-12-01,2022,Q4,O,2787.4609,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06969-0000,
33-053-07015-0000,2022-03-01,2022,Q1,O,1908.979,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07015-0000,
33-053-07015-0000,2022-04-01,2022,Q2,G,901.58649,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07015-0000,
33-053-07015-0000,2022-07-01,2022,Q3,O,1796.803,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07015-0000,
33-053-07015-0000,2022-09-01,2022,Q3,O,1688.858,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07015-0000,
33-053-07040-0000,2022-01-01,2022,Q1,O,1187.0,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07040-0000,
33-053-07040-0000,2022-09-01,2022,Q3,O,1009.67,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07040-0000,
33-053-07042-0000,2022-02-01,2022,Q1,G,3124.6682,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07042-0000,
33-053-07042-0000,2022-06-01,2022,Q2,G,3218.491,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07042-0000,
33-053-07042-0000,2022-07-01,2022,Q3,G,20.040001,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07042-0000,
33-053-07042-0000,2022-09-01,2022,Q3,G,19.066166,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07042-0000,
33-053-07080-0000,2022-01-01,2022,Q1,O,1267.0,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07080-0000,
33-053-07109-0000,2022-01-01,2022,Q1,G,1.0,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07109-0000,
33-053-07109-0000,2022-03-01,2022,Q1,G,16.241667,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07109-0000,
33-053-07109-0000,2022-04-01,2022,Q2,O,1528.5601,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07109-0000,
33-053-07109-0000,2022-06-01,2022,Q2,G,14.817833,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07109-0000,
33-053-07109-0000,2022-10-01,2022,Q4,O,1321.757,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07109-0000,
33-053-07118-0000,2022-04-01,2022,Q2,G,465.57367,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-07118-0000,
33-053-07118-0000,2022-06-01,2022,Q2,O,1220.8719,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-07118-0000,
33-053-07118-0000,2022-12-01,2022,Q4,G,3.0185001,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Bakken,Bakken,33-053-07118-0000,
33-053-07124-0000,2022-06-01,2022,Q2,G,2261.8379,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-07124-0000,
33-053-07124-0000,2022-07-01,2022,Q3,O,4350.0361,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-07124-0000,
33-053-07124-0000,2022-11-01,2022,Q4,G,2188.5496,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-07124-0000,
33-053-07153-0000,2022-03-01,2022,Q1,G,196.46434,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07153-0000,
33-053-07153-0000,2022-04-01,2022,Q2,G,188.16701,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07153-0000,
33-053-07153-0000,2022-07-01,2022,Q3,O,2015.392,WHITING OIL AND GAS CORPORATION,Three Forks,Three Forks,33-053-07153-0000,
33-053-07175-0000,2022-06-01,2022,Q2,G,2365.4961,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-07175-0000,
33-053-07175-0000,2022-07-01,2022,Q3,G,1185.4977,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-07175-0000,
33-053-07189-0000,2022-01-01,2022,Q1,G,48.333332,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-07189-0000,
33-053-07189-0000,2022-02-01,2022,Q1,G,1785.6934,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-07189-0000,
33-053-07189-0000,2022-09-01,2022,Q3,G,52.668999,"WPX ENERGY WILLISTON, LLC",Three Forks,Three Forks,33-053-07189-0000,
33-053-07217-0000,2022-02-01,2022,Q1,G,159.5,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-07217-0000,
33-053-07217-0000,2022-03-01,2022,Q1,G,162.717,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-07217-0000,
33-053-07217-0000,2022-06-01,2022,Q2,O,2250.8721,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-07217-0000,
33-053-07217-0000,2022-10-01,2022,Q4,O,2201.1431,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-07217-0000,
33-053-07228-0000,2022-03-01,2022,Q1,G,1404.7468,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07228-0000,
33-053-07228-0000,2022-06-01,2022,Q2,G,1278.1812,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07228-0000,
33-053-07228-0000,2022-12-01,2022,Q4,O,2567.02,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07228-0000,
33-053-07229-0000,2022-01-01,2022,Q1,O,1869.0,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07229-0000,
33-053-07229-0000,2022-04-01,2022,Q2,G,997.74585,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07229-0000,
33-053-07229-0000,2022-06-01,2022,Q2,O,1007.4,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07229-0000,
33-053-07230-0000,2022-03-01,2022,Q1,G,2496.0313,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07230-0000,
33-053-07230-0000,2022-03-01,2022,Q1,O,2637.4951,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07230-0000,
33-053-07230-0000,2022-07-01,2022,Q3,G,2317.2583,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07230-0000,
