operator,api_number,basin,production_month,flared_gas_mcf,gross_gas_production_mcf,flaring_intensity,cumulative_flared_mcf
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2021-12-01,,35.0,,204217.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-02-01,412.0,7149.0,0.05763043782347181,412.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-03-01,7043.0,44466.0,0.1583906805199478,7455.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-04-01,2367.0,28064.0,0.08434293044469783,9822.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-05-01,532.0,18852.0,0.02821981752599194,10354.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-06-01,177.0,3397.0,0.052104798351486604,10531.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-07-01,412.0,10741.0,0.038357694814263106,10943.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-08-01,,8279.0,,10943.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-09-01,450.0,10486.0,0.04291436200648484,11393.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-10-01,14.0,2849.0,0.004914004914004914,11407.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-11-01,205.0,3465.0,0.05916305916305916,11612.0
QEP ENERGY COMPANY,33-053-07069-0000,Three Forks,2017-12-01,,6478.0,,11612.0
